PCE,below18,above18
16.231657,16.231657,
16.232456,16.232456,
16.250045,16.250045,
16.254781,16.254781,
16.255159,16.255159,
16.25967,16.25967,
16.266237,16.266237,
16.26781,16.26781,
16.270895,16.270895,
16.273314,16.273314,
16.283344,16.283344,
16.283775,16.283775,
16.284426,16.284426,
16.28518,16.28518,
16.288038,16.288038,
16.2929,16.2929,
16.295065,16.295065,
16.295086,16.295086,
16.301271,16.301271,
16.311717,16.311717,
16.321648,16.321648,
16.322104,16.322104,
16.324814,16.324814,
16.333168,16.333168,
16.340376,16.340376,
16.347772,16.347772,
16.361351,16.361351,
16.367405,16.367405,
16.370073,16.370073,
16.371423,16.371423,
16.375449,16.375449,
16.397525,16.397525,
16.41293,16.41293,
16.420328,16.420328,
16.427143,16.427143,
16.43604,16.43604,
16.441843,16.441843,
16.457233,16.457233,
16.457337,16.457337,
16.464037,16.464037,
16.465334,16.465334,
16.468783,16.468783,
16.477752,16.477752,
16.480646,16.480646,
16.482207,16.482207,
16.484022,16.484022,
16.484819,16.484819,
16.492367,16.492367,
16.510214,16.510214,
16.511762,16.511762,
16.513092,16.513092,
16.514362,16.514362,
16.516176,16.516176,
16.520528,16.520528,
16.523627,16.523627,
16.523852,16.523852,
16.530863,16.530863,
16.542932,16.542932,
16.543207,16.543207,
16.544234,16.544234,
16.545752,16.545752,
16.549495,16.549495,
16.552723,16.552723,
16.55665,16.55665,
16.557387,16.557387,
16.560366,16.560366,
16.561264,16.561264,
16.569518,16.569518,
16.570741,16.570741,
16.582095,16.582095,
16.58745,16.58745,
16.618259,16.618259,
16.62578,16.62578,
16.631548,16.631548,
16.632983,16.632983,
16.639235,16.639235,
16.645688,16.645688,
16.64983,16.64983,
16.660861,16.660861,
16.66265,16.66265,
16.664789,16.664789,
16.664952,16.664952,
16.680422,16.680422,
16.682173,16.682173,
16.683978,16.683978,
16.686253,16.686253,
16.687465,16.687465,
16.687591,16.687591,
16.701101,16.701101,
16.710045,16.710045,
16.714911,16.714911,
16.717966,16.717966,
16.724219,16.724219,
16.734123,16.734123,
16.734309,16.734309,
16.734599,16.734599,
16.738524,16.738524,
16.747145,16.747145,
16.759574,16.759574,
16.760314,16.760314,
16.767063,16.767063,
16.782429,16.782429,
16.783802,16.783802,
16.795843,16.795843,
16.798492,16.798492,
16.80155,16.80155,
16.801562,16.801562,
16.801576,16.801576,
16.805568,16.805568,
16.807496,16.807496,
16.811964,16.811964,
16.81536,16.81536,
16.816344,16.816344,
16.817083,16.817083,
16.828854,16.828854,
16.829347,16.829347,
16.829407,16.829407,
16.836111,16.836111,
16.843025,16.843025,
16.85613,16.85613,
16.858902,16.858902,
16.859488,16.859488,
16.863636,16.863636,
16.865791,16.865791,
16.868166,16.868166,
16.875814,16.875814,
16.876303,16.876303,
16.876521,16.876521,
16.880102,16.880102,
16.886661,16.886661,
16.888346,16.888346,
16.892746,16.892746,
16.895173,16.895173,
16.896473,16.896473,
16.898443,16.898443,
16.900299,16.900299,
16.903665,16.903665,
16.903759,16.903759,
16.908032,16.908032,
16.908058,16.908058,
16.90865,16.90865,
16.909336,16.909336,
16.917365,16.917365,
16.918671,16.918671,
16.920982,16.920982,
16.922478,16.922478,
16.924624,16.924624,
16.929035,16.929035,
16.929661,16.929661,
16.929997,16.929997,
16.932601,16.932601,
16.933073,16.933073,
16.93488,16.93488,
16.935226,16.935226,
16.935311,16.935311,
16.942057,16.942057,
16.943451,16.943451,
16.945425,16.945425,
16.952615,16.952615,
16.955629,16.955629,
16.965125,16.965125,
16.967482,16.967482,
16.971315,16.971315,
16.973368,16.973368,
16.979468,16.979468,
16.980676,16.980676,
16.987585,16.987585,
16.988894,16.988894,
16.992188,16.992188,
16.992831,16.992831,
16.995037,16.995037,
16.997351,16.997351,
16.998257,16.998257,
16.999596,16.999596,
17.006349,17.006349,
17.007443,17.007443,
17.014306,17.014306,
17.020354,17.020354,
17.029326,17.029326,
17.033341,17.033341,
17.035603,17.035603,
17.045438,17.045438,
17.057724,17.057724,
17.062084,17.062084,
17.069352,17.069352,
17.078289,17.078289,
17.083915,17.083915,
17.090549,17.090549,
17.093014,17.093014,
17.094737,17.094737,
17.0991,17.0991,
17.10058,17.10058,
17.105274,17.105274,
17.110126,17.110126,
17.1102,17.1102,
17.12135,17.12135,
17.124616,17.124616,
17.127606,17.127606,
17.129017,17.129017,
17.132858,17.132858,
17.133343,17.133343,
17.134034,17.134034,
17.135793,17.135793,
17.144267,17.144267,
17.144372,17.144372,
17.152773,17.152773,
17.153242,17.153242,
17.153308,17.153308,
17.15574,17.15574,
17.162986,17.162986,
17.170857,17.170857,
17.173139,17.173139,
17.178344,17.178344,
17.180726,17.180726,
17.183339,17.183339,
17.185227,17.185227,
17.190773,17.190773,
17.197643,17.197643,
17.200384,17.200384,
17.201909,17.201909,
17.204636,17.204636,
17.20615,17.20615,
17.213009,17.213009,
17.213504,17.213504,
17.218449,17.218449,
17.218643,17.218643,
17.219003,17.219003,
17.221001,17.221001,
17.227373,17.227373,
17.227832,17.227832,
17.22965,17.22965,
17.233044,17.233044,
17.238449,17.238449,
17.243179,17.243179,
17.244517,17.244517,
17.245212,17.245212,
17.247684,17.247684,
17.251827,17.251827,
17.254053,17.254053,
17.25971,17.25971,
17.260883,17.260883,
17.261246,17.261246,
17.262196,17.262196,
17.26366,17.26366,
17.273264,17.273264,
17.283895,17.283895,
17.284749,17.284749,
17.287426,17.287426,
17.288827,17.288827,
17.295879,17.295879,
17.296031,17.296031,
17.302398,17.302398,
17.306162,17.306162,
17.308376,17.308376,
17.314392,17.314392,
17.315832,17.315832,
17.329847,17.329847,
17.330579,17.330579,
17.333166,17.333166,
17.333563,17.333563,
17.344643,17.344643,
17.350785,17.350785,
17.354911,17.354911,
17.356827,17.356827,
17.361931,17.361931,
17.365789,17.365789,
17.369908,17.369908,
17.378199,17.378199,
17.397896,17.397896,
17.404365,17.404365,
17.405444,17.405444,
17.412208,17.412208,
17.413883,17.413883,
17.415957,17.415957,
17.42504,17.42504,
17.429526,17.429526,
17.430875,17.430875,
17.432801,17.432801,
17.435431,17.435431,
17.457495,17.457495,
17.459065,17.459065,
17.46292,17.46292,
17.46384,17.46384,
17.466031,17.466031,
17.467081,17.467081,
17.467773,17.467773,
17.469294,17.469294,
17.471678,17.471678,
17.472495,17.472495,
17.473799,17.473799,
17.482976,17.482976,
17.488652,17.488652,
17.500436,17.500436,
17.508539,17.508539,
17.510985,17.510985,
17.512189,17.512189,
17.514292,17.514292,
17.519981,17.519981,
17.520116,17.520116,
17.522568,17.522568,
17.52691,17.52691,
17.544796,17.544796,
17.559209,17.559209,
17.560835,17.560835,
17.578384,17.578384,
17.582187,17.582187,
17.60424,17.60424,
17.608648,17.608648,
17.615756,17.615756,
17.615893,17.615893,
17.620143,17.620143,
17.623343,17.623343,
17.624694,17.624694,
17.634427,17.634427,
17.634702,17.634702,
17.638211,17.638211,
17.641232,17.641232,
17.64814,17.64814,
17.66009,17.66009,
17.66258,17.66258,
17.663366,17.663366,
17.66717,17.66717,
17.674604,17.674604,
17.679708,17.679708,
17.683145,17.683145,
17.687505,17.687505,
17.688183,17.688183,
17.690876,17.690876,
17.697746,17.697746,
17.704977,17.704977,
17.70582,17.70582,
17.706218,17.706218,
17.714753,17.714753,
17.715697,17.715697,
17.715847,17.715847,
17.71691,17.71691,
17.719997,17.719997,
17.724327,17.724327,
17.734984,17.734984,
17.747803,17.747803,
17.749148,17.749148,
17.749725,17.749725,
17.751561,17.751561,
17.755569,17.755569,
17.757927,17.757927,
17.76291,17.76291,
17.764918,17.764918,
17.77102,17.77102,
17.782489,17.782489,
17.787682,17.787682,
17.788535,17.788535,
17.794968,17.794968,
17.796663,17.796663,
17.804187,17.804187,
17.804433,17.804433,
17.807794,17.807794,
17.809092,17.809092,
17.815877,17.815877,
17.824065,17.824065,
17.824869,17.824869,
17.825991,17.825991,
17.836068,17.836068,
17.856858,17.856858,
17.859619,17.859619,
17.860705,17.860705,
17.862048,17.862048,
17.869907,17.869907,
17.87034,17.87034,
17.877111,17.877111,
17.877469,17.877469,
17.899201,17.899201,
17.909707,17.909707,
17.911494,17.911494,
17.924082,17.924082,
17.929042,17.929042,
17.929148,17.929148,
17.937538,17.937538,
17.940173,17.940173,
17.944955,17.944955,
17.957998,17.957998,
17.969038,17.969038,
17.969611,17.969611,
17.971757,17.971757,
17.976885,17.976885,
17.977516,17.977516,
17.981649,17.981649,
17.982565,17.982565,
17.984986,17.984986,
17.988666,17.988666,
17.989581,17.989581,
17.991005,17.991005,
17.992809,17.992809,
17.997159,17.997159,
18.009738,,
18.013249,,
18.020883,,
18.023492,,
18.030792,,
18.03666,,
