index,SMILES,frequency
374,c1cc(CN)ccc1CNC=C,1
375,c1sc(c(c1O)OC)C=C,0
376,c1ccc(c2c1nc(CC)c(CC)n2)C=C,2
377,c1c(F)sc(F)c1C=C,15
378,c1sc(c2c1CC[C@@H](C)C2)C=C,0
379,c1sc(c2c1c(C(=O)C(F)(F)F)ccc2)C=C,1
380,c1sc(c2c1ncnc2C#N)C=C,0
381,c1sc2c(c1)[nH]c(c2)C=C,0
382,c1sc(c2c1cc(C)s2),0
383,c1sc(c2c1nc(CCO)c(CN)n2)C=C,1
384,N1c2cscc2N(CC1),0
385,c1sc(c2c1[nH]c(C#N)c2)C=C,1
386,c1[nH]c2nc3[nH]c(nc3nc2n1),0
387,c1oc2c(c1)C(=O)c1c2sc(c1),0
388,c1sc(c2c1cc(C(=O)OC)cc2)C=C,0
389,c1oc(c(c1OC)OC)C=C,0
390,c1sc(c2c1sc(C(=O)OCC)c2)C=C,5
391,c1nc2CCNS2c1,0
392,c1sc(c2c1OCSS2),0
393,c1c(F)c(F)c(c2c1nsn2),0
394,c1sc(c2c1C(=O)c1ccccc1C2=O)C=C,0
395,c1sc(c2c1CCC[C@H]2O),1
396,c1c2n(CCC)c3c(c2ccc1)cccc3C=C,0
397,c1sc(cc1)N,0
398,c1csc2c1c(CC)c(CC)c1c(csc21),0
399,c1sc(nn1),1
400,c1sc(c2c1C[C@H](OC)[C@@H](OC)C2),1
401,c1sc(c2c1[C@H](C#N)CC[C@H]2C#N),1
402,C1C(=O)Oc2c1cc1c(c2)C(C(=O)O1),0
403,c1sccc1/C=C(/Cc1sc(CC)cc1)C=C,0
404,c1cc2c(C=C/C/2=C\2/C=Cc3c2cccc3)c(c1)C=C,0
405,c1ccc(=O)c1,0
406,C1=C(F)C=C/C/1=C\1/C(=CC(=C1)F),0
407,c1sc(c2c1c(C(=O)OC)ccc2),0
408,c1sc(NC)c(c1C(=O)OC),0
409,N1CN[C@@H]2C[C@H]3[C@@H](C[C@H]12)N(CN3),0
410,C1C(=O)O[C@@H]2[C@H]1CC[C@@H]1[C@H]2OC(=O)C1C=C,0
411,c1cc(cc2c1n(c1c2cccc1)C(CC)CC),0
412,C1=C2CSC[C@H]2C(=C1),0
413,c1sc(c(c1)C(=O)C(F)(F)F),0
414,c(s1)c2NCOc2c1C=C,0
415,c1c(c2c(s1)nc1c(c2CC)CCS1),1
416,c1c2cscc2c(N)c(c1)C=C,0
417,c1scc2c1c(ccc2OC),0
418,c1c(OCC)c(ccc1)C=C,0
419,c1c(OCC)c(OCC)c(OCC)cc1,1
420,c1[nH]c2nc3[nH]c(nc3nc2n1)C=C,0
421,C#Cc1[nH]c(cc1)C#CC=C,0
422,c1sc(c2c1C[C@H](N)[C@@H](N(=O)=O)C2),0
423,c1sc2c(c1)C(=S)c1c2oc(c1)C=C,0
424,c1c2CCc2sc1,0
425,c1sc(c(c1)C(=O)C(F)(F)F)C=C,0
426,c(s1)c(CCN)c(CCN)c1C=C,0
427,c1sc(c2c1[C@H](C(F)(F)F)CC[C@H]2OC),2
428,c1sc(c2c1c(C#N)ccc2OC)C=C,0
429,c1c(C(=O)c2cscc2C(=O)c2ccccc2)ccc(c1)C=C,0
430,C1C2CC(=C)O[C@H](C1C=CC2C)CCCC=C,0
431,c1c2n(CCC)c3c(c2ccc1)cccc3,1
432,c1cc(c2c1[nH]cnc2)C=C,0
433,c1scc2c1C=C(C2=O)C=C,0
434,c1sc(c(c1C#N)C#N),0
435,c1sc(c(c1O)S),1
436,c1sc(c2c1OCCCC2),0
437,c1sc(c(c1O)C(F)(F)F),1
438,c1sc(c2c1S(=O)(=O)CCC2)C=C,0
439,C1S[C@@H]2[C@@H]1NCC2,0
440,c1oc(c(c1N(=O)=O)N(=O)=O)C=C,0
441,c1sc(c2c1C[C@H](C(F)(F)F)[C@@H](C#N)C2),0
442,c1ccc(s1)C=C,0
443,c1cc(c2c(c1)c1c(s2)cccc1)C=C,0
444,c1sc2c(c1)[nH]c(c2),1
445,c1c(c2c(s1)[C@H]1[C@H](C2(CC)CC)CCS1)C=C,0
446,c1oc(cc1C(=O)C(F)(F)F),0
447,C#CC#CC=C,0
448,c1c2CCc2sc1C=C,0
449,c(s1)c2c(=O)n(CC)c(=O)c2c1C=C,1
450,c1occ(OC)c1NC=C,0
451,c1c2c(SCC2)c2c(CCS2)c1C=C,0
452,c1sc(c2c1[C@H](OC)CC[C@H]2OC)C=C,0
453,c1sc(c2c1CC[C@@H](C(=O)O)C2)C=C,0
454,c1sc(c2c1C[C@H](S)CC2),0
455,c1[nH]c(cc1),1
456,c1[nH]c2cc([nH]c2c1),2
457,c1sc(OC)c(C(=O)C)c1C=C,0
458,c1csc2c1c(CC)c1c(c2CC)scc1C=C,1
459,c1scc2c1C=C(C2=O),0
460,c1sc(c(c1OCC)OCC)C=C,0
461,c(s1)c(O)c(NN)c1C=C,0
462,c1sc(c2c1C[C@H](C(F)(F)F)CC2),0
463,c1sc(c(c1OCC)OCC)C=CC=C,0
464,N1CN[C@@H]2[C@H]1N(CN2),1
465,C1=C(CC)C(CC)=C(S1(=O)=O)C=C,0
466,c1c(OCC)cc(c(c1)OCC)C=CC=C,0
467,c1sc(c2c1cc1C(=O)N(CC)C(=O)c1c2),0
468,C1=C(c2cscc12),1
469,c1c(C)cc(c(c1)C),0
470,c1c(OCC)cc(c(c1)OCC)C=C,0
471,c1c(c2c(s1)c(CC)c1c(c2CC)scc1)C=C,0
472,C/C=C\1/OCCC(OCC1)C=C,2
473,c1sc(c2c1oc(=O)o2),0
474,c1sc(cc1)c1ccc(s1)c1sc(cc1),1
475,c1c(F)c(F)c(c2c1nn(CC)n2)C=C,0
476,c1sc(c2c1cc(C=C)c(C)c2),0
477,c1scc(C(=O)O)c1SC=C,0
478,c1n(CC)nc(c1CC)CC,0
479,c1c2c(nccc2)c(s1)C=C,1
480,Nc1sc(c2c1nccn2),0
481,c1sc(c2c1cc(N(=O)=O)cc2),0
482,c1scc2c1sc1c2csc1,0
483,c1sc(CC)c2c1c(c[nH]2),0
484,c1sc(c2c1OCO2)C=C,0
485,C1=CC(C#N)=C/C/1=C/1\C(=CC(=C1)C#N)C=C,40
486,c1sc(c2c1cc(S)c(O)c2),1
487,c1scc2c1N(CCN2C(=O)O),0
488,c1sccc1O,0
489,C=Cc1csc(c1)C=C,0
490,c1csc2c1cc(c1c2scc1)C=C,1
491,N1c2cscc2N(C1),0
492,C=NNc1ccc(cc1),0
493,c1sc2C3=C([CH]S3)Cc2c1,0
494,C(=[N])/N=C(\C1=CSC=[S]1)C=C,0
495,c1sc(c2c1c(C(F)(F)F)ccc2)C=C,0
496,C1OCC1C=C,0
497,c1c2ccccc2c(c1=O),1
498,c1cc2c(cc1)c1c(C2(C)C)cc(cc1)C=C,0
499,c1scc2c1CCC[C@H]2C(=O)OC=C,0
