,SMILES,new name,old name,homo,lumo,bandgap,new dft filename
248,c1sc(c2c1CC[C@@H](N(=O)=O)C2),248,179,-6.446730866,-1.860986624,4.585744242,
249,c1sc(c2c1cc(C)cc2),249,773,-5.505461846,-1.477823111,4.027638735,
250,C1SCN2[C@H]1NCC2C=C,250,433,-5.874992455,0.223323837,6.098316292,
251,c1sc(c2c1CCS(=O)(=O)C2),251,372,-6.879500734,-1.030712843,5.848787891,
252,c1c2c(cccc2)cc2c1c(ccc2),252,711,-5.482577071,-1.925096647,3.557480424,
253,c1cc(cnc1),253,471,-6.957542987,-0.867879915,6.089663072,
254,c1c(OC)cc(c(c1)OCC(CC)CC),254,274,-5.469025802,-0.240902392,5.22812341,
255,c1sc(c2c1OSCCO2)C=C,255,309,-5.704866876,-1.178171339,4.526695537,
256,c1cCcc1,256,957,-6.017906649,-0.59312656,5.424780089,
257,c1sc(c2c1nc(CN)c(CN)n2)C=C,257,729,-5.862856177,-2.414656675,3.448199502,
