,SMILES,new name,old name,homo,lumo,bandgap,
181,c1sc(c2c1c(C(=O)C)ccc2),181,992,-5.917496639,-2.246517527,3.670979112,
182,c1nc2cscc2nc1,182,703,-6.429560482,-2.420289432,4.00927105,
183,c1sc(c2c1OCC[C@@H](SC)O2)C=C,183,348,-5.554796087,-0.966929356,4.587866731,
184,c1cc2c(s1)c1c(C2(CC)CC)cc(s1)C=C,184,336,-5.189265552,-1.623104695,3.566160857,
185,c1oc(c(c1OC)C#N)C=C,185,58,-6.290347036,-1.832931686,4.45741535,
186,c1sc(c2c1c(C#N)ccc2)C=C,186,97,-5.900924905,-2.55169321,3.349231695,
187,C1=C(F)C=C/C/1=C\1/C(=CC(=C1)F)C=C,187,197,-5.929850607,-3.197881971,2.731968636,
188,c1oc(nc1)C=C,188,180,-6.396525861,-1.317901801,5.07862406,
189,c1c2n(CC)c3c(c2ccc1)cccc3,189,706,-5.559639714,-0.952235208,4.607404506,
190,c1scc(N(=O)=O)c1N,190,376,-6.031757244,-2.438385003,3.593372241,
191,c1c(F)c(F)c(c2c1nsn2)C=C,191,301,-6.556039,-2.826092817,3.729946183,
192,c1sc(c2c1cc(C#N)cc2),192,915,-6.198508612,-2.341702952,3.85680566,
193,c1csc2c1n(CC)c1c2scc1,193,486,-5.263960804,-0.75854457,4.505416234,
194,c1oc(cc1C=O)C=C,194,222,-6.386566494,-1.582695789,4.803870705,
195,c1sc(c2c1[nH]cn2),195,613,-5.800569317,-0.877784859,4.922784458,
196,c1ccc2c(c1)oc1c2ccc(c1)C=C,196,632,-5.958204871,-1.634669534,4.323535337,
197,c1sc(CC)c(c1CC),197,22,-6.050505889,-0.289474714,5.761031175,
198,c1cc2c(cc1)C(C(=O)N2CC)C1C(=O)Nc2cc(ccc12),198,719,-6.044328904,-0.864859451,5.179469453,
199,c1oc(c(c1O)C(=O)O)C=C,199,834,-6.139568752,-2.200285384,3.939283368,
200,c1ccc2c(c1)C(=O)c1c2ccc(c1),200,635,-6.461996453,-2.466603209,3.995393244,
201,c1sc(c2c1C(=O)OC2=O)C=C,201,667,-7.018306009,-2.641953375,4.376352634,
202,c1oc(nc1),202,844,-7.076973755,-0.265474273,6.811499482,
