,SMILES,new name,old name,homo,lumo,bandgap,
187,c1sc(c2c1S(=O)(=O)CCC2),186,273,-6.99316269,-1.235696207,5.757466483,
188,c1sc(c2c1C[C@H](C#N)[C@@H](C#N)C2),187,123,-6.754328363,-1.016726191,5.737602172,
189,c1n(C)c(=O)c2c1c(=O)n(C)c2,188,4a,-5.684104589,-2.35462836,3.329476229,duplicate?
190,c1sc(c2c1[C@H](N)CC[C@H]2N)C=C,189,531,-5.672648596,-0.976290073,4.696358523,
191,c1sc(C(=O)O)cc1O,190,477,-6.591304955,-1.857122607,4.734182348,
192,c1sc(c2c1cc(C=O)cc2)C=C,191,611,-5.76761633,-2.434439352,3.333176978,
193,C1C2CC(=C)O[C@H](C1C=CC2C)CCC,192,68,-6.153963575,0.109253711,6.263217286,
194,c1occ(N(=O)=O)c1N,193,144,-6.134833971,-2.377241021,3.75759295,
195,c1sc(c2c1cc(C=C)cc2),194,285,-5.563286039,-1.720984047,3.842301992,
196,c1sc(c2c1[nH]c(N(=O)=O)c2),195,714,-6.06645176,-2.729519612,3.336932149,
197,c1sc(CC)c2c1nc(s2)C=C,196,685,-5.8430735,-1.86248325,3.980590251,
198,c1c2c(ncs2)c(c2c1ncs2)C=C,197,935,-6.095703999,-1.963328643,4.132375356,
199,c1sc2cc(C(=O)O)sc2c1,198,77,-6.596393484,-2.049779213,4.546614271,
200,c1sc2c(c1)C(=O)c1c2sc(c1),199,863,-5.905251515,-2.643613269,3.261638246,
201,c1sc(c2c1[C@H](C=C)CCC2),200,221,-6.175895951,-0.415789964,5.760105987,
202,c(s1)c2cc(OC)c(OC)cc2c1,201,891,-5.374629507,-1.332051721,4.042577786,duplicate?
203,c1cc(N(=O)=O)c(cc1),202,20,-7.794973361,-2.548400633,5.246572729,
204,c1sc2c(c1)sc1cc(sc21),203,61u,-5.762174053,-1.249220265,4.512953788,duplicate?
205,c1c2c(nccc2)c(s1),204,325,-6.035539627,-1.958348959,4.077190668,
206,c1sc(c2c1nc(OCC)c(OCC)n2),205,320,-5.940463047,-1.609281312,4.331181736,
207,c1c2ccccc2c(c1=O)C=C,206,602,-5.425705277,-3.556827351,1.868877925,
208,C1=C[C@@H]2[C@H](C1)[C@@H]1[C@@H](C=CC1)C2=C,207,212,-6.451057477,0.005387854,6.456445331,
209,c1sc(c(c1OC)C#N)C=C,208,738,-6.293830094,-2.008445119,4.285384975,
210,c1sc(c2c1CC[C@@H](O)C2),209,374,-6.39826739,-0.591112917,5.807154472,
211,c1c(CC)cc(s1)C=C,210,465,-5.853332193,-1.195586625,4.657745568,
212,c1sc(c2c1C=[S]C=C2)C=C,211,37,-4.203941299,-1.510340716,2.693600583,
213,c1cc(c(cc1)N(c1ccccc1)c1ccccc1)C=C,212,321,-5.229783304,-1.221138116,4.008645189,
