gen,filename,deltaHOMO,summedoscs,PCE,donor
8,764_834_30_834_764_02120,0.590000,5.991651,13.924150,PBDB-T-SF,
8,108_50_834_50_108_13031,1.020000,4.592767,13.827537,PBDB-T-SF,
8,154_580_131_102_725_10234,1.500000,3.104701,13.820870,PBDB-T-SF,
8,28_110_28_28_214_01003,0.310000,6.742952,13.767291,PBDB-T-SF,
8,154_580_580_102_260_10035,0.910000,4.860650,13.728362,PBDB-T-SF,
8,100_214_100_100_132_01003,1.050000,4.426226,13.725859,PBDB-T-SF,
8,764_834_214_834_764_02120,0.470000,6.202473,13.703852,PBDB-T-SF,
8,834_50_834_50_834_01010,0.140000,6.421485,12.601281,PBDB-T-SF,
8,110_580_171_102_764_10234,0.730000,4.492573,12.455619,PBDB-T-SF,
8,102_102_50_102_102_11311,0.220000,5.472962,11.635565,PBDB-T-SF,
8,834_158_156_161_102_01325,0.540000,4.471338,11.617929,PBDB-T-SF,
8,580_102_580_580_222_01003,0.450000,4.519020,11.300637,PBDB-T-SF,
8,242_580_657_102_764_10234,0.100000,5.579716,11.271965,PBDB-T-SF,
8,580_102_580_580_154_01003,0.470000,4.418117,11.246794,PBDB-T-SF,
8,221_221_221_221_221_00000,0.410000,3.375204,9.555402,PBDB-T-SF,
8,154_102_102_88_580_13370,0.350000,3.429487,9.374850,PBDB-T-SF,
8,834_852_852_852_834_02220,0.560000,2.660164,9.209042,PBDB-T-SF,
8,30_74_74_6_764_13370,0.760000,1.943747,9.073537,PBDB-T-SF,
9,260_672_727_88_422_10234,1.420000,4.749241,15.745001,PBDB-T-SF,
9,260_32_580_32_260_13031,1.100000,5.726944,15.729698,PBDB-T-SF,
9,679_834_110_834_679_02120,0.870000,6.348122,15.606411,PBDB-T-SF,
9,764_764_764_764_764_00000,0.820000,6.366845,15.419442,PBDB-T-SF,
9,834_102_834_834_214_01003,0.990000,5.500316,14.949582,PBDB-T-SF,
9,764_110_764_110_764_01010,0.900000,5.651692,14.775076,PBDB-T-SF,
9,154_154_580_154_154_11011,1.260000,4.520762,14.749585,PBDB-T-SF,
9,764_764_110_764_764_00100,0.810000,5.899047,14.732735,PBDB-T-SF,
9,214_158_100_158_214_13031,1.260000,4.448856,14.650571,PBDB-T-SF,
9,102_50_834_50_102_13031,0.970000,5.158485,14.393780,PBDB-T-SF,
9,764_495_110_495_764_02120,0.600000,6.247461,14.318951,PBDB-T-SF,
9,834_834_50_147_147_00133,1.280000,4.136530,14.305599,PBDB-T-SF,
9,260_88_88_6_422_13370,1.620000,3.081919,14.300099,PBDB-T-SF,
9,214_102_834_102_214_13031,1.480000,3.457719,14.221876,PBDB-T-SF,
9,549_549_110_549_549_00100,0.280000,7.110353,14.145553,PBDB-T-SF,
9,102_114_834_114_102_13031,1.050000,4.724203,14.136175,PBDB-T-SF,
9,764_764_30_764_764_00100,0.550000,6.243450,14.100677,PBDB-T-SF,
9,102_154_580_154_102_13031,1.240000,4.043321,14.007050,PBDB-T-SF,
9,154_102_580_102_154_13031,1.250000,4.001904,13.992569,PBDB-T-SF,
9,102_134_834_134_102_13031,1.330000,3.744785,13.978915,PBDB-T-SF,
9,102_158_834_158_102_13031,1.080000,4.487107,13.937344,PBDB-T-SF,
9,764_834_30_834_764_02120,0.590000,5.991651,13.924150,PBDB-T-SF,
9,108_50_834_50_108_13031,1.020000,4.592767,13.827537,PBDB-T-SF,
9,102_221_834_221_102_13031,1.360000,3.142561,13.277302,PBDB-T-SF,
