Molecule,HOMO-1 (eV),HOMO (eV),LUMO (eV),LUMO+1 (eV),Delta HOMO,delta LUMO,optical bandgap (cm-1),oscillator strength,single point energy,dipole moment (debye),summed oscs,first oscs,highest oscs under ten,first Energy Transition eV,first Energy transition wavenumber,lowest Energy Transition eV,lowest Energy transition wavenumber,PCE
133_175_580_32_133_13051,-7.44,-6.41,-2.54,-1.83,1.0300000000000002,0.71,15692.6,1.056132833,-4186.925226565895,4.93819,3.3843175859999994,1.056132833,1.056132833,1.9455685479999998,15692.6,1.9455685479999998,15692.6,12.206051818158999
260_189_189_50_580_13350,-8.04,-6.34,-2.91,-1.79,1.6999999999999993,1.12,20048.1,0.441414043,-3036.293878613863,5.8412,4.448529072999999,0.041013025,0.660398795,2.485563438,20048.1,3.094503606,24959.7,16.52232103575799
260_183_580_189_260_13051,-8.21,-6.78,-3.57,-2.78,1.4300000000000006,0.79,9953.7,0.522439796,-5031.942237815019,6.39592,5.308716959,0.522439796,0.522439796,1.234059726,9953.7,1.234059726,9953.7,16.557949754780005
260_88_672_189_260_13051,-8.34,-7.08,-3.01,-2.74,1.2599999999999998,0.2699999999999996,17735.6,0.892832616,-4209.435650350096,4.25891,4.228871301,0.013789553,0.892832616,2.1988596879999998,17735.6,2.3696049439999998,19112.8,14.347652283713996
158_86_580_86_158_13031,-8.1,-6.56,-3.34,-3.2,1.54,0.13999999999999968,12887.2,0.63847507,-3110.475352779075,4.15484,4.691789660000001,0.006596361,0.63847507,1.597755056,12887.2,2.04907945,16527.5,16.176490864057
260_175_580_206_260_13051,-7.92,-6.84,-3.42,-3.02,1.08,0.3999999999999999,13037.5,0.180657933,-4650.846430196473,12.03749,5.985375314000001,0.180657933,0.681900881,1.6163892499999999,13037.5,2.0155800539999995,16257.3,16.000458309615
260_175_580_27_260_13051,-7.92,-6.85,-3.53,-2.94,1.0700000000000003,0.5899999999999999,12383.4,0.968703067,-4766.175219390333,6.0392,6.511238059,0.968703067,0.968703067,1.5352939319999999,12383.4,1.5352939319999999,12383.4,16.68202130948
260_189_580_86_260_13051,-8.27,-6.66,-3.0,-2.66,1.6099999999999994,0.33999999999999986,14461.5,0.832289239,-4575.892088254364,1.4292,4.938776722999999,0.832289239,0.832289239,1.7929367699999998,14461.5,1.7929367699999998,14461.5,16.814442049807994
260_32_580_86_260_13051,-8.0,-6.65,-3.18,-2.64,1.3499999999999996,0.54,13181.3,1.21409192,-5055.097426542621,7.06707,5.759336652000001,1.21409192,1.21409192,1.6342175739999998,13181.3,1.6342175739999998,13181.3,16.838053072041
260_189_580_32_260_13051,-7.66,-6.56,-3.06,-2.77,1.1000000000000005,0.29000000000000004,13521.5,1.040871452,-4653.195448789015,1.49588,5.129850047999999,1.040871452,1.040871452,1.67639557,13521.5,1.67639557,13521.5,14.907500018332998
